latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
27.6526,22.48197,303.31,1.17,1.08,6/17/2024,1:09,A,54,6.1NRT,292.78,7.07,N
28.05484,19.91563,320.7,1,1,6/17/2024,1:09,A,100,6.1NRT,293.01,19.24,N
13.3652,13.77235,337.59,1.19,1.08,6/17/2024,1:11,A,100,6.1NRT,294.58,48.86,N
-10.9199,14.46312,309.87,1.32,1.14,6/17/2024,1:20,A,79,6.1NRT,284.15,17.85,N
-10.91839,14.452,305.19,1.31,1.14,6/17/2024,1:20,A,63,6.1NRT,283.02,13.08,N
-10.80775,15.70333,301.85,1.6,1.24,6/17/2024,1:20,A,45,6.1NRT,281.53,15.43,N
-20.05075,-54.28232,324.29,1.12,1.06,6/17/2024,1:43,T,100,6.1NRT,289.38,28.16,N
-19.1672,-52.90439,304.95,1.37,1.16,6/17/2024,1:43,T,62,6.1NRT,289.75,11.9,N
-19.16378,-52.89949,310.34,1.37,1.16,6/17/2024,1:43,T,80,6.1NRT,290.15,16.95,N
-20.05238,-54.2929,301.96,1.12,1.06,6/17/2024,1:43,T,46,6.1NRT,288.92,7.01,N
-19.79242,-56.28028,304.1,1,1,6/17/2024,1:43,T,31,6.1NRT,293.84,4.43,N
-19.77857,-56.38488,315.12,1,1,6/17/2024,1:43,T,91,6.1NRT,291.8,13.32,N
-19.78793,-56.37704,314.14,1,1,6/17/2024,1:43,T,89,6.1NRT,294.24,11.26,N
-19.78222,-56.27232,310.99,1,1,6/17/2024,1:43,T,75,6.1NRT,292.55,9.2,N
-19.79813,-56.38499,348.76,1,1,6/17/2024,1:43,T,100,6.1NRT,296.86,58.31,N
-19.79681,-56.37561,310.64,1,1,6/17/2024,1:43,T,81,6.1NRT,294.41,8.14,N
-19.77725,-56.3755,322.68,1,1,6/17/2024,1:43,T,100,6.1NRT,292.47,20.46,N
-19.76534,-56.29098,310.98,1,1,6/17/2024,1:43,T,81,6.1NRT,293.27,9.84,N
-19.76402,-56.28158,320.42,1,1,6/17/2024,1:43,T,100,6.1NRT,292.81,17.97,N
-19.78925,-56.38642,321.51,1,1,6/17/2024,1:43,T,100,6.1NRT,293.74,18,N
-23.79268,-53.34619,302.19,1.12,1.06,6/17/2024,1:43,T,47,6.1NRT,291.47,4.91,N
-23.79435,-53.35693,311.27,1.12,1.06,6/17/2024,1:43,T,82,6.1NRT,291.47,11.97,N
-22.31796,-47.53638,302.53,2.87,1.62,6/17/2024,1:43,T,50,6.1NRT,288.12,30.47,N
-22.32309,-47.56256,300.72,2.86,1.61,6/17/2024,1:43,T,33,6.1NRT,286.97,26.4,N
-23.24323,-53.85085,302.22,1.09,1.04,6/17/2024,1:43,T,48,6.1NRT,289.17,6.14,N
